rate_date,gold_24k,gold_22k,silver
2026-02-26,7210.92,6668.56,91.46
2026-02-27,7206.58,6676.41,91.36
2026-02-28,7186.77,6639.43,91.44
2026-03-01,7213.07,6691.19,92.22
2026-03-02,7205.26,6651.79,92.5
2026-03-03,7200.82,6640.26,92.35
2026-03-04,7205.82,6649.26,92.28
2026-03-05,7220.27,6670.74,92.5
2026-03-06,7209.52,6641.26,92.55
2026-03-07,7217.76,6694.73,92.53
2026-03-08,7218.12,6654.93,92.36
2026-03-09,7199.82,6649.89,92.21
2026-03-10,7204.58,6683.46,92.28
2026-03-11,7216.26,6667.66,92.34
2026-03-12,7221.26,6699.26,92.39
2026-03-13,7214.37,6650.91,92.29
2026-03-14,7221.58,6678.74,92.39
2026-03-15,7215.22,6646.81,92.4
2026-03-16,7208.15,6680.11,92.24
2026-03-17,7221.36,6653.59,92.25
2026-03-18,7210.81,6673.67,92.27
2026-03-19,7197.11,6671.87,92.28
2026-03-20,7210.8,6670.87,92.34
2026-03-21,7210.48,6665.75,92.53
2026-03-22,7199.54,6665.39,92.27
2026-03-23,7205.07,6668.23,92.3
2026-03-24,7202.77,6670.13,92.21
2026-03-25,7206.87,6686.22,92.55
2026-03-26,7195.77,6636.78,92.28
2026-03-27,7220.56,6692.89,92.51
2026-03-28,7204.31,6641.84,92.49
2026-03-29,7213.94,6673.36,92.55
2026-03-30,7212.51,6641.86,92.49
2026-03-31,7202.29,6665.27,92.53
2026-04-01,7122.62,6586.73,91.5
2026-04-02,7136.82,6607.97,91.47
2026-04-03,7137.66,6586.05,91.58
2026-04-04,7145.4,6622.26,91.43
2026-04-05,7131.65,6581.18,91.4
2026-04-06,7141.57,6608.29,91.49
2026-04-07,7140.71,6603.23,91.55
2026-04-08,7119.84,6560.28,91.72
2026-04-09,7145.36,6607.19,91.7
2026-04-10,7136.18,6578.9,91.44
2026-04-11,7128.36,6609.28,91.69
2026-04-12,7144.12,6623.72,91.47
2026-04-13,7126.68,6567.93,91.68
2026-04-14,7144.79,6599.71,91.62
2026-04-15,7123.97,6606.8,91.71
2026-04-16,7147.42,6622.34,91.72
2026-04-17,7120.27,6593.74,91.52
2026-04-18,7146.12,6620.72,91.71
2026-04-19,7142.7,6590.82,91.69
2026-04-20,7122.65,6602.7,91.71
2026-04-21,7125.91,6602.91,91.57
2026-04-22,7128.27,6604.01,91.48
2026-04-23,7120.24,6566.54,91.52
2026-04-24,7144.23,6627.22,91.5
2026-04-25,7137.87,6593.03,91.76
2026-04-26,7134.86,6617.25,91.44
2026-04-27,7147.25,6590.57,91.75
2026-04-28,7127.14,6568.63,91.56
2026-04-29,7140.35,6591.0,91.62
2026-04-30,7134.16,6588.91,91.61
2026-05-01,7076.29,6562.88,92.44
2026-05-02,7096.64,6572.35,92.49
2026-05-03,7086.57,6529.52,92.49
2026-05-04,7085.6,6540.83,92.56
2026-05-05,7096.65,6550.28,92.36
2026-05-06,7087.82,6547.29,92.35
2026-05-07,7079.85,6540.88,92.59
2026-05-08,7095.45,6579.3,92.47
2026-05-09,7084.77,6551.77,92.25
2026-05-10,7084.38,6545.51,92.46
2026-05-11,7094.81,6556.83,92.41
2026-05-12,7082.3,6545.77,92.58
2026-05-13,7098.82,6545.74,92.28
2026-05-14,7090.86,6561.6,92.37
2026-05-15,7099.45,6575.39,92.49
2026-05-16,7082.61,6532.35,92.25
2026-05-17,7083.18,6546.67,92.56
2026-05-18,7078.3,6539.16,92.48
2026-05-19,7081.75,6556.42,92.43
2026-05-20,7083.16,6555.7,92.25
2026-05-21,7097.54,6574.58,92.28
2026-05-22,7088.3,6536.4,92.6
2026-05-23,7090.93,6532.53,92.34
2026-05-24,7100.3,6561.43,92.54
2026-05-25,7095.17,6583.3,92.47
2026-05-26,7103.18,6585.82,92.47
2026-05-27,7096.64,6560.49,92.55
2026-05-28,7091.78,6575.66,92.52
2026-05-29,7089.7,6541.85,92.34
2026-05-30,7094.32,6571.42,92.44
2026-05-31,7094.01,6546.57,92.27
2026-06-01,7049.88,6519.4,91.94
2026-06-02,7047.39,6524.8,92.15
2026-06-03,7042.67,6506.16,92.09
2026-06-04,7052.59,6505.22,92.04
2026-06-05,7066.39,6536.73,92.14
2026-06-06,7065.04,6544.57,92.03
2026-06-07,7041.03,6501.87,92.16
2026-06-08,7064.94,6553.87,92.04
2026-06-09,7061.95,6530.76,92.11
2026-06-10,7047.08,6500.79,92.05
2026-06-11,7041.68,6501.68,92.14
2026-06-12,7052.27,6502.83,92.06
2026-06-13,7044.46,6518.53,91.9
2026-06-14,7051.98,6522.53,91.9
2026-06-15,7059.0,6507.53,92.06
2026-06-16,7042.28,6504.38,91.96
2026-06-17,7050.08,6530.63,92.03
2026-06-18,7062.08,6545.17,91.98
2026-06-19,7043.17,6487.21,92.08
2026-06-20,7069.08,6527.49,92.13
2026-06-21,7062.91,6536.92,92.16
2026-06-22,7067.66,6518.66,91.89
2026-06-23,7045.16,6494.37,92.13
2026-06-24,7056.78,6509.61,92.14
2026-06-25,7062.5,6512.35,92.11
2026-06-26,7061.97,6509.2,92.19
2026-06-27,7068.08,6514.48,91.9
2026-06-28,7049.66,6526.06,92.24
2026-06-29,7052.05,6530.13,91.91
2026-06-30,7060.35,6533.35,91.92
2026-07-01,7142.76,6583.58,84.14
2026-07-02,7147.96,6599.66,83.96
2026-07-03,7136.19,6596.81,83.93
2026-07-04,7149.87,6625.16,83.85
2026-07-05,7153.05,6618.74,84.09
2026-07-06,7145.81,6602.1,84.06
2026-07-07,7153.18,6600.59,84.08
2026-07-08,7140.98,6600.07,83.96
2026-07-09,7146.49,6594.37,84.1
2026-07-10,7149.34,6587.89,84.11
2026-07-11,7132.57,6591.42,84.02
2026-07-12,7136.43,6573.16,84.1
2026-07-13,7130.8,6577.17,84.08
2026-07-14,7135.33,6614.74,84.05
2026-07-15,7133.5,6569.55,84.13
2026-07-16,7128.06,6600.06,83.98
2026-07-17,7147.26,6616.19,84.03
2026-07-18,7139.63,6614.31,83.84
2026-07-19,7131.94,6602.2,83.91
2026-07-20,7142.22,6600.7,83.99
2026-07-21,7137.76,6610.24,83.92
2026-07-22,7145.68,6593.75,83.9
2026-07-23,7129.06,6574.6,83.85
2026-07-24,7140.91,6613.94,83.87
2026-07-25,7131.79,6591.68,84.06
2026-07-26,7153.5,6613.61,83.91
2026-07-27,7128.48,6574.15,83.89
2026-07-28,7130.73,6567.21,83.99
2026-07-29,7133.44,6617.7,84.0
2026-07-30,7145.53,6586.38,84.1
2026-07-31,7139.63,6618.3,84.0
2026-08-01,7141.06,6578.54,84.23
2026-08-02,7149.45,6624.77,84.05
2026-08-03,7137.91,6604.56,83.93
2026-08-04,7140.06,6603.2,84.01
2026-08-05,7164.22,6603.12,84.17
2026-08-06,7153.13,6626.57,83.99
2026-08-07,7150.74,6607.37,84.06
2026-08-08,7160.39,6643.19,84.01
2026-08-09,7153.55,6617.9,84.16
2026-08-10,7162.89,6606.37,83.98
2026-08-11,7154.68,6596.31,83.97
2026-08-12,7137.94,6573.25,84.06
2026-08-13,7152.77,6601.27,83.99
2026-08-14,7156.01,6624.83,84.06
2026-08-15,7155.45,6635.36,84.18
2026-08-16,7153.67,6620.59,84.23
2026-08-17,7147.95,6609.52,84.13
2026-08-18,7161.77,6636.29,83.94
2026-08-19,7140.54,6590.88,84.16
2026-08-20,7152.07,6600.49,83.95
2026-08-21,7155.49,6624.19,84.23
2026-08-22,7150.1,6608.95,83.94
2026-08-23,7136.93,6593.79,84.02
2026-08-24,7142.95,6582.27,84.24
2026-08-25,7159.7,6621.82,84.23
2026-08-26,7164.38,6630.96,84.0
2026-08-27,7136.94,6610.01,84.07
2026-08-28,7154.42,6634.02,83.97
2026-08-29,7152.53,6618.23,84.08
2026-08-30,7138.4,6590.93,84.02
2026-08-31,7154.96,6631.6,84.02
2026-09-01,7229.28,6697.52,83.82
2026-09-02,7215.13,6659.6,83.74
2026-09-03,7230.0,6677.71,83.8
2026-09-04,7230.52,6690.86,83.81
2026-09-05,7213.93,6652.15,83.75
2026-09-06,7223.83,6683.11,83.89
2026-09-07,7207.87,6664.68,83.94
2026-09-08,7214.64,6678.33,83.67
2026-09-09,7230.09,6688.03,83.71
2026-09-10,7206.57,6663.56,83.82
2026-09-11,7204.69,6683.91,83.94
2026-09-12,7215.32,6649.92,83.91
2026-09-13,7216.38,6680.85,83.8
2026-09-14,7209.89,6680.8,83.96
2026-09-15,7209.03,6665.84,83.76
2026-09-16,7228.61,6681.64,83.93
2026-09-17,7226.94,6668.51,83.9
2026-09-18,7213.97,6689.52,83.8
2026-09-19,7225.68,6667.68,83.73
2026-09-20,7218.94,6697.31,83.8
2026-09-21,7206.29,6662.69,83.75
2026-09-22,7217.93,6673.61,83.79
2026-09-23,7211.29,6649.78,83.87
2026-09-24,7218.5,6658.64,83.89
2026-09-25,7203.26,6670.22,83.87
2026-09-26,7225.42,6672.61,83.85
2026-09-27,7225.69,6702.59,83.8
2026-09-28,7203.07,6657.93,83.83
2026-09-29,7227.1,6698.55,83.78
2026-09-30,7217.18,6668.59,83.87
2026-10-01,7201.76,6655.09,84.6
2026-10-02,7207.07,6671.12,84.49
2026-10-03,7221.88,6692.67,84.56
2026-10-04,7208.27,6653.41,84.51
2026-10-05,7219.21,6691.23,84.28
2026-10-06,7199.28,6660.9,84.58
2026-10-07,7226.08,6691.24,84.42
2026-10-08,7200.15,6661.82,84.57
2026-10-09,7210.11,6673.97,84.58
2026-10-10,7198.63,6668.55,84.37
2026-10-11,7208.12,6644.72,84.45
2026-10-12,7213.63,6682.12,84.33
2026-10-13,7199.58,6673.16,84.48
2026-10-14,7204.25,6679.54,84.32
2026-10-15,7210.61,6652.42,84.36
2026-10-16,7197.58,6668.01,84.58
2026-10-17,7216.85,6653.34,84.42
2026-10-18,7207.28,6666.05,84.49
2026-10-19,7209.55,6651.26,84.56
2026-10-20,7203.05,6652.03,84.43
2026-10-21,7204.15,6662.4,84.47
2026-10-22,7225.94,6668.54,84.6
2026-10-23,7216.29,6658.66,84.46
2026-10-24,7217.09,6682.9,84.29
2026-10-25,7214.8,6668.4,84.58
2026-10-26,7205.56,6675.04,84.48
2026-10-27,7207.47,6668.68,84.48
2026-10-28,7216.86,6681.5,84.49
2026-10-29,7221.49,6681.11,84.58
2026-10-30,7215.95,6660.07,84.42
2026-10-31,7214.03,6679.48,84.3
2026-11-01,7168.73,6607.94,85.33
2026-11-02,7191.58,6648.82,85.46
2026-11-03,7187.53,6631.42,85.43
2026-11-04,7177.52,6649.72,85.4
2026-11-05,7173.41,6611.38,85.48
2026-11-06,7167.73,6648.74,85.44
2026-11-07,7184.48,6664.77,85.48
2026-11-08,7186.79,6636.18,85.42
2026-11-09,7164.08,6623.9,85.3
2026-11-10,7183.0,6648.03,85.35
2026-11-11,7187.3,6665.37,85.19
2026-11-12,7170.4,6604.12,85.45
2026-11-13,7179.8,6657.25,85.22
2026-11-14,7165.5,6639.57,85.46
2026-11-15,7172.36,6625.08,85.2
2026-11-16,7190.85,6636.83,85.32
2026-11-17,7166.47,6643.63,85.2
2026-11-18,7176.71,6642.18,85.4
2026-11-19,7190.84,6642.56,85.4
2026-11-20,7168.12,6621.52,85.18
2026-11-21,7177.73,6629.99,85.47
2026-11-22,7164.62,6616.09,85.3
2026-11-23,7190.98,6664.5,85.18
2026-11-24,7183.37,6641.98,85.48
2026-11-25,7173.98,6626.06,85.21
2026-11-26,7167.19,6642.33,85.3
2026-11-27,7182.71,6646.24,85.35
2026-11-28,7164.3,6636.61,85.23
2026-11-29,7167.3,6628.25,85.17
2026-11-30,7185.65,6627.2,85.22
2026-12-01,7278.58,6747.06,84.97
2026-12-02,7299.31,6728.27,85.01
2026-12-03,7281.59,6713.52,85.19
2026-12-04,7275.03,6699.52,85.24
2026-12-05,7281.22,6720.64,85.03
2026-12-06,7275.81,6736.58,85.15
2026-12-07,7296.02,6741.83,85.23
2026-12-08,7289.25,6717.27,85.14
2026-12-09,7301.85,6725.53,85.24
2026-12-10,7299.56,6747.34,85.13
2026-12-11,7302.39,6726.9,85.13
2026-12-12,7285.99,6743.13,85.14
2026-12-13,7300.81,6726.08,85.0
2026-12-14,7292.02,6717.64,85.06
2026-12-15,7292.74,6742.43,85.08
2026-12-16,7303.28,6751.2,85.12
2026-12-17,7291.93,6719.23,85.21
2026-12-18,7299.15,6753.43,85.23
2026-12-19,7295.3,6728.11,85.12
2026-12-20,7280.94,6721.14,85.12
2026-12-21,7286.41,6713.96,85.12
2026-12-22,7293.67,6734.58,85.02
2026-12-23,7301.19,6726.11,85.25
2026-12-24,7277.0,6705.41,85.22
2026-12-25,7297.95,6747.61,85.17
2026-12-26,7290.66,6729.59,85.01
2026-12-27,7284.59,6740.81,85.23
2026-12-28,7299.59,6757.34,85.3
2026-12-29,7291.79,6731.72,85.17
2026-12-30,7280.48,6736.61,85.05
2026-12-31,7277.44,6743.26,85.09
